"city","state","country","geographykey","customerkey","customername","commutedistance"
"Burbank","California","United States",301,13325,"Marcus Wright","1-2 Miles"
"Beverly Hills","California","United States",300,13326,"Bob J Fernandez","2-5 Miles"
"Bellingham","Washington","United States",609,13327,"Isabelle S Russell","0-1 Miles"
"Cliffside","British Columbia","Canada",49,13328,"Albert E Serrano","5-10 Miles"
"Chula Vista","California","United States",307,13329,"Jake J Wang","1-2 Miles"
"Shawnee","British Columbia","Canada",64,13330,"Maria G Patterson","1-2 Miles"
"Imperial Beach","California","United States",329,13331,"Lauren A Diaz","0-1 Miles"
"Colma","California","United States",310,13332,"Neil M Alonso","5-10 Miles"
"Concord","California","United States",311,13333,"Tara C Chander","1-2 Miles"
"Beaverton","Oregon","United States",536,13334,"Melanie K Rivera","1-2 Miles"
"Lakewood","California","United States",334,13335,"Alyssa S Barnes","5-10 Miles"
"Colma","California","United States",310,13336,"Deanna Gill","5-10 Miles"
"Sedro Woolley","Washington","United States",638,13337,"Lauren D Cox","5-10 Miles"
"Santa Cruz","California","United States",368,13338,"Jada J Carter","5-10 Miles"
"Santa Cruz","California","United States",368,13339,"Nicole G Clark","5-10 Miles"
"Berkeley","California","United States",299,13340,"Natalie Edwards","1-2 Miles"
"Long Beach","California","United States",337,13341,"Lucas L King","5-10 Miles"
"Coronado","California","United States",312,13342,"Brandon C Jackson","5-10 Miles"
"Westminster","British Columbia","Canada",70,13343,"Melanie G Bradley","1-2 Miles"
"Puyallup","Washington","United States",633,13344,"Caitlin A Reed","5-10 Miles"
"N. Vancouver","British Columbia","Canada",54,13345,"Dalton A Butler","0-1 Miles"
"Beaverton","Oregon","United States",536,13346,"Gregory S Chande","5-10 Miles"
"Novato","California","United States",347,13347,"Rachel Hall","5-10 Miles"
"Lincoln Acres","California","United States",336,13348,"Noah Young","0-1 Miles"
"Newport Beach","California","United States",345,13349,"Kaitlyn A Gonzalez","5-10 Miles"
"Shawnee","British Columbia","Canada",63,13350,"Isaac Sandberg","5-10 Miles"
"Issaquah","Washington","United States",618,13351,"Mariah Cox","1-2 Miles"
"La Jolla","California","United States",331,13352,"Joseph E Davis","10+ Miles"
"Lynnwood","Washington","United States",626,13353,"Jordyn S Coleman","10+ Miles"
"Seattle","Washington","United States",637,13354,"Eric Campbell","10+ Miles"
"Puyallup","Washington","United States",633,13355,"Jackson Jai","10+ Miles"
"Bellingham","Washington","United States",609,13356,"Stefanie J Prasad","2-5 Miles"
"El Cajon","California","United States",316,13357,"Blake C Gonzales","10+ Miles"
"Metchosin","British Columbia","Canada",53,13358,"Alexandra Edwards","10+ Miles"
"Downey","California","United States",315,13359,"Ian C Wood","10+ Miles"
"Concord","California","United States",311,13360,"Jada Cook","10+ Miles"
"Lake Oswego","Oregon","United States",542,13361,"Cameron F Jai","2-5 Miles"
"Bellflower","California","United States",298,13362,"Destiny Morgan","10+ Miles"
"Woodburn","Oregon","United States",553,13363,"Sydney K Allen","1-2 Miles"
"Bellflower","California","United States",298,13364,"Natalie F Anderson","10+ Miles"
"Concord","California","United States",311,13365,"Luke Shan","1-2 Miles"
"Westminster","British Columbia","Canada",71,13366,"Austin E Davis","10+ Miles"
"Lynnwood","Washington","United States",626,13367,"Savannah Edwards","10+ Miles"
"Renton","Washington","United States",635,13368,"Kyle C Henderson","1-2 Miles"
"Edmonds","Washington","United States",614,13369,"Mariah C Henderson","5-10 Miles"
"Oregon City","Oregon","United States",546,13370,"Blake M Ross","10+ Miles"
"Salem","Oregon","United States",548,13371,"Sydney B Gonzales","10+ Miles"
"Yakima","Washington","United States",648,13372,"Isaac R Edwards","10+ Miles"
"Beverly Hills","California","United States",300,13373,"Michelle L Murphy","10+ Miles"
"Burlingame","California","United States",302,13374,"Marco M Martinez","2-5 Miles"
"Colma","California","United States",310,13375,"Jason Kumar","10+ Miles"
"Concord","California","United States",311,13376,"Jerry D Rai","2-5 Miles"
"Santa Cruz","California","United States",368,13377,"Thomas Hernandez","10+ Miles"
"Woodland Hills","California","United States",385,13378,"Alexandra J Bailey","1-2 Miles"
"Sedro Woolley","Washington","United States",638,13379,"Bailey Morris","2-5 Miles"
"Bellflower","California","United States",298,13380,"Katherine Scott","2-5 Miles"
"Coronado","California","United States",312,13381,"Vanessa Jenkins","10+ Miles"
"Santa Monica","California","United States",369,13382,"Richard V Rogers","1-2 Miles"
"Beaverton","Oregon","United States",536,13383,"Natalie J Wright","10+ Miles"
"Bremerton","Washington","United States",611,13384,"Mario T Ashe","10+ Miles"
"Issaquah","Washington","United States",618,13385,"Danielle M Cook","10+ Miles"
"Lebanon","Oregon","United States",543,13386,"Samuel R Patterson","2-5 Miles"
"Berkeley","California","United States",299,13387,"Miranda L Jenkins","10+ Miles"
"Burlingame","California","United States",302,13388,"Marshall M Shen","10+ Miles"
"Lemon Grove","California","United States",335,13389,"Madison M Thomas","1-2 Miles"
"Novato","California","United States",347,13390,"Julia C Collins","1-2 Miles"
"Burnaby","British Columbia","Canada",43,13391,"Brenda Malhotra","10+ Miles"
"Beaverton","Oregon","United States",536,13392,"Hunter Parker","10+ Miles"
"Beaverton","Oregon","United States",536,13393,"Willie Kumar","2-5 Miles"
"Beaverton","Oregon","United States",536,13394,"Matthew L Clark","10+ Miles"
"Bellingham","Washington","United States",609,13395,"Gabriel J Li","2-5 Miles"
"Olympia","Washington","United States",631,13396,"David Kumar","10+ Miles"
"Redmond","Washington","United States",634,13397,"Adam Mitchell","10+ Miles"
"Sedro Woolley","Washington","United States",638,13398,"Logan L Ross","10+ Miles"
"Grossmont","California","United States",326,13399,"Edward A Young","2-5 Miles"
"Grossmont","California","United States",326,13400,"Julia B Thomas","2-5 Miles"
"Woodland Hills","California","United States",385,13401,"Erin S Bradley","10+ Miles"
"El Cajon","California","United States",316,13402,"Gabriel E Turner","2-5 Miles"
"Woodburn","Oregon","United States",553,13403,"Jennifer Jackson","10+ Miles"
"London","England","United Kingdom",248,13404,"Kelvin Yang","0-1 Miles"
"Roubaix","Nord","France",189,13405,"Ethan L Bryant","5-10 Miles"
"Münster","Saarland","Germany",170,13406,"Craig Jiménez","5-10 Miles"
"London","England","United Kingdom",253,13407,"Cassandra Rana","0-1 Miles"
"Peterborough","England","United Kingdom",265,13408,"Katherine R Gonzales","0-1 Miles"
"Tremblay-en-France","Seine Saint Denis","France",224,13409,"Cory P Fernandez","10+ Miles"
"Berlin","Nordrhein-Westfalen","Germany",153,13410,"Jillian A Madan","10+ Miles"
"Berks","England","United Kingdom",229,13411,"Jacquelyn Blanco","5-10 Miles"
"Birmingham","England","United Kingdom",232,13412,"Rafael Zhao","0-1 Miles"
"Portland","Oregon","United States",547,13413,"Fernando Phillips","5-10 Miles"
"Oregon City","Oregon","United States",546,13414,"Miguel Wilson","0-1 Miles"
"Beverly Hills","California","United States",300,13415,"Marcus A Rogers","2-5 Miles"
"Fremont","California","United States",322,13416,"Richard Roberts","1-2 Miles"
"Long Beach","California","United States",337,13417,"Ian D Cox","2-5 Miles"
"Vancouver","British Columbia","Canada",68,13418,"Devin C Cox","2-5 Miles"
"Bremerton","Washington","United States",611,13419,"Lauren Coleman","0-1 Miles"
"Grossmont","California","United States",326,13420,"Jordan B Turner","2-5 Miles"
"Santa Cruz","California","United States",368,13421,"Alyssa C Patterson","1-2 Miles"
"Spring Valley","California","United States",372,13422,"Jacqueline C Washington","0-1 Miles"
"Sooke","British Columbia","Canada",66,13423,"Alex M Peterson","2-5 Miles"
"Corvallis","Oregon","United States",539,13424,"Jasmine M Thomas","2-5 Miles"
"Edmonds","Washington","United States",614,13425,"Jose L Garcia","2-5 Miles"
"Bellflower","California","United States",298,13426,"Taylor Williams","2-5 Miles"
"Lincoln Acres","California","United States",336,13427,"Connor A Winston","1-2 Miles"
"Novato","California","United States",347,13428,"Marcus A Ramirez","0-1 Miles"
"Palo Alto","California","United States",352,13429,"Gabrielle Washington","1-2 Miles"
"Santa Monica","California","United States",369,13430,"Edward Griffin","0-1 Miles"
"Tacoma","Washington","United States",642,13431,"Bryan E James","5-10 Miles"
"Ballard","Washington","United States",607,13432,"Dalton S Wood","2-5 Miles"
"Bellflower","California","United States",298,13433,"Jessie E Vazquez","5-10 Miles"
"N. Vancouver","British Columbia","Canada",54,13434,"Kaitlyn G Wright","5-10 Miles"
"Beverly Hills","California","United States",300,13435,"Tracy A Pal","5-10 Miles"
"Issaquah","Washington","United States",618,13436,"Gail Griffin","5-10 Miles"
"Port Orchard","Washington","United States",632,13437,"Ethan B Flores","10+ Miles"
"Redmond","Washington","United States",634,13438,"Chloe Griffin","0-1 Miles"
"Burlingame","California","United States",302,13439,"Arturo Lin","5-10 Miles"
"Victoria","British Columbia","Canada",69,13440,"Sydney A Miller","5-10 Miles"
"Bellingham","Washington","United States",609,13441,"Omar S Zhang","5-10 Miles"
"Burien","Washington","United States",612,13442,"Paula Vazquez","1-2 Miles"
"Lebanon","Oregon","United States",543,13443,"Jasmine White","1-2 Miles"
"Beverly Hills","California","United States",300,13444,"Abby M Lopez","1-2 Miles"
"Daly City","California","United States",314,13445,"Logan H Davis","2-5 Miles"
"El Cajon","California","United States",316,13446,"Katelyn Scott","5-10 Miles"
"Long Beach","California","United States",337,13447,"Destiny M Cox","2-5 Miles"
"Palo Alto","California","United States",352,13448,"Catherine Ward","0-1 Miles"
"Bremerton","Washington","United States",611,13449,"Jerome H Diaz","5-10 Miles"
"Oregon City","Oregon","United States",546,13450,"Victoria S Jones","5-10 Miles"
"Burbank","California","United States",301,13451,"Robin H Browning","2-5 Miles"
"Glendale","California","United States",325,13452,"Kaitlyn Evans","0-1 Miles"
"Lincoln Acres","California","United States",336,13453,"Amanda Howard","0-1 Miles"
"Long Beach","California","United States",337,13454,"Benjamin Griffin","0-1 Miles"
"San Diego","California","United States",359,13455,"Kaitlyn L Bryant","2-5 Miles"
"Kirkland","Washington","United States",623,13456,"Sydney Hernandez","5-10 Miles"
"W. Linn","Oregon","United States",552,13457,"Eric Henderson","5-10 Miles"
"Bellingham","Washington","United States",609,13458,"Joan James","1-2 Miles"
"San Diego","California","United States",359,13459,"Devin G Foster","5-10 Miles"
"Newton","British Columbia","Canada",55,13460,"Jasmine Walker","1-2 Miles"
"Santa Cruz","California","United States",368,13461,"Anthony L Jones","0-1 Miles"
"Bellingham","Washington","United States",609,13462,"Jay M Sara","5-10 Miles"
"Bellflower","California","United States",298,13463,"Tammy B Sara","5-10 Miles"
"Beverly Hills","California","United States",300,13464,"Martha C Hu","1-2 Miles"
"Long Beach","California","United States",337,13465,"Sydney Campbell","1-2 Miles"
"Langley","British Columbia","Canada",52,13466,"Bryce James","1-2 Miles"
"Bellingham","Washington","United States",609,13467,"Kristopher Martinez","1-2 Miles"
"Portland","Oregon","United States",547,13468,"Mariah Sanders","5-10 Miles"
"Tacoma","Washington","United States",642,13469,"Bryce L Bailey","5-10 Miles"
"Bellflower","California","United States",298,13470,"Jaclyn Jai","5-10 Miles"
"Grossmont","California","United States",326,13471,"Eric Bryant","2-5 Miles"
"National City","California","United States",343,13472,"Simon Pearson","5-10 Miles"
"Coronado","California","United States",312,13473,"Logan A Hill","1-2 Miles"
"Shawnee","British Columbia","Canada",63,13474,"Elizabeth L Hall","1-2 Miles"
"Redwood City","California","United States",355,13475,"Charles Allen","5-10 Miles"
"Santa Cruz","California","United States",368,13476,"Timothy M Hall","1-2 Miles"
"Imperial Beach","California","United States",329,13477,"Katherine Wood","1-2 Miles"
"Puyallup","Washington","United States",633,13478,"Alexia E Coleman","5-10 Miles"
"Lemon Grove","California","United States",335,13479,"Katelyn Rogers","5-10 Miles"
"Berkeley","California","United States",299,13480,"Anna P Rodriguez","1-2 Miles"
"Chula Vista","California","United States",307,13481,"Hunter Hernandez","5-10 Miles"
"Berkeley","California","United States",299,13482,"Haley Bryant","5-10 Miles"
"Lynnwood","Washington","United States",626,13483,"Christian M Lal","1-2 Miles"
"Bellflower","California","United States",298,13484,"Marcus L Martinez","5-10 Miles"
"Chula Vista","California","United States",307,13485,"Thomas J Allen","0-1 Miles"
"Cliffside","British Columbia","Canada",49,13486,"Rebekah Gomez","0-1 Miles"
"Spring Valley","California","United States",372,13487,"Emily T Martin","2-5 Miles"
"Bellingham","Washington","United States",609,13488,"Laura S Guo","2-5 Miles"
"Portland","Oregon","United States",547,13489,"Jennifer Walker","5-10 Miles"
"Santa Cruz","California","United States",368,13490,"Edward Rodriguez","5-10 Miles"
"Haney","British Columbia","Canada",50,13491,"Natalie Howard","2-5 Miles"
"Burbank","California","United States",301,13492,"Christian C Foster","0-1 Miles"
"Berkshire","England","United Kingdom",230,13493,"Valerie R Zhao","0-1 Miles"
"Braunschweig","Nordrhein-Westfalen","Germany",156,13494,"Byron K Gutierrez","0-1 Miles"
"Reading","England","United Kingdom",266,13495,"Micheal W Alvarez","0-1 Miles"
"Drancy","Seine Saint Denis","France",221,13496,"Lucas G Morris","0-1 Miles"
"Hamburg","Hessen","Germany",132,13497,"Deborah R Sharma","0-1 Miles"
"Dunkerque","Nord","France",186,13498,"Joel Mehta","0-1 Miles"
"Lille","Nord","France",187,13499,"Olivia K Cox","0-1 Miles"
"Bonn","Hamburg","Germany",142,13500,"Molly C Vance","0-1 Miles"
"Stuttgart","Saarland","Germany",177,13501,"Clayton M Zhu","0-1 Miles"
"Berlin","Saarland","Germany",164,13502,"Deborah E Nara","0-1 Miles"
"Liverpool","England","United Kingdom",268,13503,"Theodore Gomez","0-1 Miles"
"Chatou","Yveline","France",207,13504,"Beth R Alonso","0-1 Miles"
"Cheltenham","England","United Kingdom",236,13505,"Jamie S Cai","0-1 Miles"
"Cergy","Val d'Oise","France",226,13506,"Willie Guo","0-1 Miles"
"Billericay","England","United Kingdom",231,13507,"Margaret J Patterson","1-2 Miles"
"Lieusaint","Seine et Marne","France",205,13508,"Cassandra T Sanchez","0-1 Miles"
"York","England","United Kingdom",279,13509,"Lucas Johnson","0-1 Miles"
"Les Ulis","Essonne","France",211,13510,"Jon R Shen","2-5 Miles"
"Courbevoie","Hauts de Seine","France",216,13511,"Ernest Liu","1-2 Miles"
"Les Ulis","Essonne","France",211,13512,"Ken Sánchez","2-5 Miles"
"Werne","Nordrhein-Westfalen","Germany",162,13513,"Abigail R Henderson","0-1 Miles"
"Eilenburg","Brandenburg","Germany",115,13514,"Lindsay Luo","1-2 Miles"
"Salzgitter","Hessen","Germany",135,13515,"Cara M Liang","0-1 Miles"
"London","England","United Kingdom",246,13516,"Harold A Ray","0-1 Miles"
"London","England","United Kingdom",256,13517,"Nicolas D Sharma","0-1 Miles"
"Cloverdale","South Australia","Australia",28,13518,"Brendan Goldstein","0-1 Miles"
"Melbourne","Victoria","Australia",35,13519,"Lucas Foster","2-5 Miles"
"Bendigo","Victoria","Australia",32,13520,"Carol Nelson","2-5 Miles"
"Cloverdale","South Australia","Australia",28,13521,"Sandra N Lu","2-5 Miles"
"Geelong","Victoria","Australia",34,13522,"Logan Taylor","0-1 Miles"
"Findon","South Australia","Australia",29,13523,"Adrienne Ruiz","0-1 Miles"
"Sydney","New South Wales","Australia",18,13524,"Cheryl Blanco","0-1 Miles"
"Lavender Bay","New South Wales","Australia",6,13525,"Cassandra Van","0-1 Miles"
"Perth","South Australia","Australia",30,13526,"Krystal D Liu","0-1 Miles"
"Gold Coast","Queensland","Australia",23,13527,"Tonya N Andersen","0-1 Miles"
"Lane Cove","New South Wales","Australia",5,13528,"Carmen S Lopez","0-1 Miles"
"South Melbourne","Victoria","Australia",38,13529,"Pamela A Martinez","0-1 Miles"
"Reading","England","United Kingdom",266,13530,"Krystal D Chen","0-1 Miles"
"Sèvres","Hauts de Seine","France",218,13531,"Tyrone Gutierrez","0-1 Miles"
"Poing","Saarland","Germany",173,13532,"Melody V Gill","0-1 Miles"
"Billericay","England","United Kingdom",231,13533,"Eduardo G Butler","0-1 Miles"
"London","England","United Kingdom",253,13534,"Beth Navarro","0-1 Miles"
"Gateshead","England","United Kingdom",238,13535,"Omar J Nara","0-1 Miles"
"Saint Germain en Laye","Yveline","France",208,13536,"Arianna Ward","1-2 Miles"
"Saint Ouen","Somme","France",210,13537,"Jill E Moreno","1-2 Miles"
"Kassel","Hessen","Germany",133,13538,"Vanessa Henderson","1-2 Miles"
"London","England","United Kingdom",255,13539,"Roger Guo","0-1 Miles"
"Erlangen","Bayern","Germany",117,13540,"Paula Ortega","0-1 Miles"
"Hannover","Nordrhein-Westfalen","Germany",157,13541,"Ashlee Xu","0-1 Miles"
"Frankfurt","Hessen","Germany",131,13542,"Sharon C Kumar","0-1 Miles"
"Leipzig","Nordrhein-Westfalen","Germany",158,13543,"Phillip Rana","0-1 Miles"
"London","England","United Kingdom",247,13544,"Joy L Martin","2-5 Miles"
"Grevenbroich","Bayern","Germany",119,13545,"Brad J Sharma","0-1 Miles"
"Münster","Saarland","Germany",170,13546,"Mitchell D Jai","0-1 Miles"
"Stoke-on-Trent","England","United Kingdom",269,13547,"Michele Jimenez","0-1 Miles"
"Frankfurt","Bayern","Germany",118,13548,"Bridget M Jai","0-1 Miles"
"Paris","Seine (Paris)","France",196,13549,"Richard King","0-1 Miles"
"Saint Germain en Laye","Yveline","France",208,13550,"Joe Malhotra","2-5 Miles"
"Cheltenham","England","United Kingdom",236,13551,"Jacob Lee","0-1 Miles"
"Saint Germain en Laye","Yveline","France",208,13552,"Trevor L Hughes","0-1 Miles"
"Oxford","England","United Kingdom",262,13553,"Jessica Coleman","1-2 Miles"
"London","England","United Kingdom",245,13554,"Paula W Moreno","0-1 Miles"
"Orleans","Loiret","France",183,13555,"Tammy L Smith","0-1 Miles"
"Lieusaint","Seine et Marne","France",205,13556,"Alisha Nath","0-1 Miles"
"London","England","United Kingdom",246,13557,"Stacey A Liu","0-1 Miles"
"Villeneuve-d'Ascq","Nord","France",190,13558,"Karen K Lu","0-1 Miles"
"Berlin","Hessen","Germany",123,13559,"Lori M Ramos","0-1 Miles"
"Frankfurt am Main","Saarland","Germany",167,13560,"Andres T Shan","0-1 Miles"
"London","England","United Kingdom",253,13561,"Gary E Navarro","0-1 Miles"
"Newcastle upon Tyne","England","United Kingdom",261,13562,"Bryant Van","0-1 Miles"
"Stoke-on-Trent","England","United Kingdom",269,13563,"Phillip M Sai","0-1 Miles"
"Paris","Seine (Paris)","France",193,13564,"Sabrina Blanco","0-1 Miles"
"Courbevoie","Hauts de Seine","France",216,13565,"Tiffany K Zhao","0-1 Miles"
"Solingen","Nordrhein-Westfalen","Germany",161,13566,"Mikael Sandberg","0-1 Miles"
"Stuttgart","Saarland","Germany",176,13567,"Anne T Rubio","0-1 Miles"
"Paris","Seine (Paris)","France",199,13568,"Max C Jimenez","0-1 Miles"
"Darmstadt","Hessen","Germany",127,13569,"Marcus Hall","0-1 Miles"
"Ingolstadt","Bayern","Germany",121,13570,"Benjamin J Jackson","0-1 Miles"
"Boulogne-Billancourt","Hauts de Seine","France",214,13571,"Allen I Mehta","0-1 Miles"
"Stuttgart","Saarland","Germany",176,13572,"Shaun Deng","0-1 Miles"
"Orleans","Loiret","France",183,13573,"Edwin M Pal","2-5 Miles"
"Dresden","Hessen","Germany",128,13574,"Brenda Garcia","2-5 Miles"
"Les Ulis","Essonne","France",211,13575,"Alicia D Shen","2-5 Miles"
"London","England","United Kingdom",256,13576,"Tamara Lal","0-1 Miles"
"Paris","Seine (Paris)","France",204,13577,"Theodore Torres","2-5 Miles"
"Roncq","Nord","France",188,13578,"Karl G Nath","10+ Miles"
"Ingolstadt","Bayern","Germany",121,13579,"Alan Chen","5-10 Miles"
"Offenbach","Saarland","Germany",172,13580,"Carol P Xu","5-10 Miles"
"Esher-Molesey","England","United Kingdom",237,13581,"Albert W Blanco","5-10 Miles"
"London","England","United Kingdom",256,13582,"Martha Gao","0-1 Miles"
"Gateshead","England","United Kingdom",238,13583,"Blake Butler","10+ Miles"
"Runcorn","England","United Kingdom",267,13584,"Isaiah E Cox","10+ Miles"
"Leeds","England","United Kingdom",243,13585,"Savannah Morris","2-5 Miles"
"Gateshead","England","United Kingdom",238,13586,"Larry B Alonso","10+ Miles"
"Bonn","Nordrhein-Westfalen","Germany",154,13587,"Kristina Subram","10+ Miles"
"Leipzig","Nordrhein-Westfalen","Germany",158,13588,"Deb A Dominguez","0-1 Miles"
"Drancy","Seine Saint Denis","France",221,13589,"Cameron M Smith","10+ Miles"
"York","England","United Kingdom",277,13590,"Louis B Xie","10+ Miles"
"York","England","United Kingdom",278,13591,"Latasha A Alonso","0-1 Miles"
"Chatou","Yveline","France",207,13592,"Gabriella J Collins","2-5 Miles"
"Frankfurt am Main","Saarland","Germany",167,13593,"Deanna A Navarro","10+ Miles"
"Hamburg","Hamburg","Germany",147,13594,"Jessica A Williams","10+ Miles"
"Bobigny","Seine Saint Denis","France",220,13595,"Cole L Stewart","10+ Miles"
"Orly","Val de Marne","France",225,13596,"Billy R Gomez","2-5 Miles"
"Hof","Bayern","Germany",120,13597,"Lance D Gutierrez","10+ Miles"
"Werne","Nordrhein-Westfalen","Germany",162,13598,"Keith R Luo","10+ Miles"
"Berks","England","United Kingdom",229,13599,"Valerie M Zhu","10+ Miles"
"Watford","England","United Kingdom",273,13600,"Marie Sanz","10+ Miles"
"Berlin","Saarland","Germany",164,13601,"Tanya N Dominguez","5-10 Miles"
"Billericay","England","United Kingdom",231,13602,"Virginia Mehta","10+ Miles"
"Leeds","England","United Kingdom",243,13603,"Molly S Martinez","10+ Miles"
"London","England","United Kingdom",249,13604,"Nuan Zheng","10+ Miles"
"Metz","Moselle","France",184,13605,"Gerrit Jan Straatsma","5-10 Miles"
"Frankfurt","Bayern","Germany",118,13606,"Drew Sharma","10+ Miles"
"Frankfurt am Main","Hamburg","Germany",145,13607,"Levi J Rana","10+ Miles"
"Paderborn","Hamburg","Germany",151,13608,"Karla H Kumar","10+ Miles"
"London","England","United Kingdom",252,13609,"Ramon K Yang","10+ Miles"
"Paris","Seine (Paris)","France",204,13610,"Omar R Sharma","10+ Miles"
"Sèvres","Hauts de Seine","France",218,13611,"Marshall L Huang","10+ Miles"
"Warrington","England","United Kingdom",271,13612,"Hailey C Ross","10+ Miles"
"Springwood","New South Wales","Australia",16,13613,"Derek E Jai","10+ Miles"
"North Ryde","New South Wales","Australia",11,13614,"Julie Becker","10+ Miles"
"Sydney","New South Wales","Australia",18,13615,"Jacquelyn I Rowe","2-5 Miles"
"Sunbury","Victoria","Australia",39,13616,"Cole E Ramirez","10+ Miles"
"Cranbourne","Victoria","Australia",33,13617,"Gerald Suri","10+ Miles"
"Geelong","Victoria","Australia",34,13618,"Jay M Raman","10+ Miles"
"Rhodes","New South Wales","Australia",14,13619,"Arturo Xu","10+ Miles"
"Coffs Harbour","New South Wales","Australia",2,13620,"Damien M Ye","10+ Miles"
"Sunbury","Victoria","Australia",39,13621,"Melody Ruiz","10+ Miles"
"Newcastle","New South Wales","Australia",10,13622,"Alan Wang","10+ Miles"
"Melbourne","Victoria","Australia",35,13623,"Mitchell Carson","10+ Miles"
"Sunbury","Victoria","Australia",39,13624,"Nicole C Long","10+ Miles"
"Port Macquarie","New South Wales","Australia",13,13625,"Jason J Campbell","10+ Miles"
"Brisbane","Queensland","Australia",20,13626,"Johnathan D Madan","10+ Miles"
"Darlinghurst","New South Wales","Australia",3,13627,"Natasha K Rubio","10+ Miles"
"Cranbourne","Victoria","Australia",33,13628,"Kaitlin Schmidt","10+ Miles"
"Rockhampton","Queensland","Australia",26,13629,"Karla W Yuan","10+ Miles"
"Wollongong","New South Wales","Australia",19,13630,"Brenda Arun","10+ Miles"
"Matraville","New South Wales","Australia",8,13631,"Joe Subram","10+ Miles"
"Cloverdale","South Australia","Australia",28,13632,"Cheryl C Munoz","10+ Miles"
"North Ryde","New South Wales","Australia",11,13633,"Juan Ramos","10+ Miles"
"Brisbane","Queensland","Australia",20,13634,"Alexis L Russell","10+ Miles"
"Matraville","New South Wales","Australia",8,13635,"Kurt D Deng","10+ Miles"
"Sunbury","Victoria","Australia",39,13636,"Jarrod Rodriguez","10+ Miles"
"Wollongong","New South Wales","Australia",19,13637,"Victoria S Cooper","10+ Miles"
"Sydney","New South Wales","Australia",18,13638,"Diana Alvarez","10+ Miles"
"Geelong","Victoria","Australia",34,13639,"Colin Liang","10+ Miles"
"East Brisbane","Queensland","Australia",22,13640,"Rachael G Patel","10+ Miles"
"Hervey Bay","Queensland","Australia",25,13641,"Adrian K Watson","10+ Miles"
"Darlinghurst","New South Wales","Australia",3,13642,"Cassie Nara","10+ Miles"
"Lane Cove","New South Wales","Australia",5,13643,"Ronald B Sai","10+ Miles"
"Bendigo","Victoria","Australia",32,13644,"Kristi M Dominguez","10+ Miles"
"Hawthorne","Queensland","Australia",24,13645,"Eugene L He","10+ Miles"
"Warrnambool","Victoria","Australia",40,13646,"Terry R Yuan","10+ Miles"
"East Brisbane","Queensland","Australia",22,13647,"Armando M Alonso","10+ Miles"
"Rockhampton","Queensland","Australia",26,13648,"Arturo Sharma","10+ Miles"
"Townsville","Queensland","Australia",27,13649,"Rebekah Suarez","10+ Miles"
"North Sydney","New South Wales","Australia",12,13650,"Jessie A She","10+ Miles"
"Perth","South Australia","Australia",30,13651,"Jerry C Sharma","10+ Miles"
"Beaverton","Oregon","United States",536,13652,"Tamara A Zeng","5-10 Miles"
"Burien","Washington","United States",612,13653,"Tony Chander","1-2 Miles"
"Bellingham","Washington","United States",609,13654,"Shawn R Andersen","1-2 Miles"
"Bellingham","Washington","United States",609,13655,"Christopher L Walker","5-10 Miles"
"Bellflower","California","United States",298,13656,"Faith Howard","5-10 Miles"
"Lebanon","Oregon","United States",543,13657,"Kaylee M Collins","5-10 Miles"
"Redmond","Washington","United States",634,13658,"Wyatt J Bennett","0-1 Miles"
"Ballard","Washington","United States",607,13659,"Clayton Shan","5-10 Miles"
"Metchosin","British Columbia","Canada",53,13660,"Ethan Davis","10+ Miles"
"Warrington","England","United Kingdom",271,13661,"Andre M Sara","1-2 Miles"
"Villeneuve-d'Ascq","Nord","France",190,13662,"Miguel C Roberts","1-2 Miles"
"Stuttgart","Saarland","Germany",177,13663,"Melvin R Tang","1-2 Miles"
"Oxon","England","United Kingdom",264,13664,"Larry T Diaz","0-1 Miles"
"Woolston","England","United Kingdom",276,13665,"Kristi Randall","0-1 Miles"
"Grevenbroich","Bayern","Germany",119,13666,"Teresa Ruiz","1-2 Miles"
"Les Ulis","Essonne","France",211,13667,"Andres Deng","1-2 Miles"
"Coffs Harbour","New South Wales","Australia",2,13668,"Stanley Z Martinez","5-10 Miles"
"Gold Coast","Queensland","Australia",23,13669,"Kristy Gill","0-1 Miles"
"Port Macquarie","New South Wales","Australia",13,13670,"Brittney K Zeng","0-1 Miles"
"Poing","Saarland","Germany",173,13671,"Frank Ramos","1-2 Miles"
"Lille","Nord","France",187,13672,"Benjamin C Davis","0-1 Miles"
"Verrieres Le Buisson","Essonne","France",213,13673,"Sandra He","0-1 Miles"
"Paris","Seine (Paris)","France",200,13674,"Drew L Shen","1-2 Miles"
"London","England","United Kingdom",256,13675,"Stanley Sai","0-1 Miles"
"W. York","England","United Kingdom",270,13676,"George L Kapoor","0-1 Miles"
"Saarbrücken","Saarland","Germany",174,13677,"Brian T Albrecht","1-2 Miles"
"High Wycombe","England","United Kingdom",240,13678,"Warren A Goel","0-1 Miles"
"Lancaster","England","United Kingdom",242,13679,"Sandra Li","0-1 Miles"
"Warrington","England","United Kingdom",271,13680,"Jan K Watson","1-2 Miles"
"Paris","Seine (Paris)","France",196,13681,"Adam A Hall","2-5 Miles"
"Paderborn","Nordrhein-Westfalen","Germany",160,13682,"Fernando M Lopez","1-2 Miles"
"Kiel","Saarland","Germany",168,13683,"Sheila C Torres","2-5 Miles"
"Kassel","Hessen","Germany",133,13684,"Francis Dominguez","1-2 Miles"
